uid,sex,yrborn,col_area,dam,sire,cuid,fur_mark,age,year
10287_10267,F,2025,bench,,,10287_10267,scooter,P,2025
10292_10398,F,2025,river_rivermound,,,10292_10398,tesla,P,2025
10293_10289,F,2024,boulder,,,10201_10289,paper_plane,Y,2025
10300_10286,F,2025,bench,,,10300_10286,lemon,P,2025
10304_10333,M,2025,picnic_lower,,,10304_10333,staple,P,2025
10318_9454,F,2025,boulder,,,10318_10908,carrot,P,2025
10327_10348,F,2025,picnic_lower,,,10327_10348,boot,P,2025
10332_10412,F,2025,boulder,,,10137_10412,yen,P,2025
10337_10361,F,2025,mm_aspen,,,10337_10361,france,P,2025
10339_10402,M,2025,picnic_lower,,,10339_10402,shell,P,2025
10341_10403,M,2025,boulder,,,10341_10403,location,P,2025
10343_10345,F,2025,picnic_lower,,,10496_10345,jellyfish,P,2025
10354_10305,M,2025,picnic_lower,,,10354_10910,pound,P,2025
10357_10359,F,2025,northpk,,,10357_10359,low_battery,P,2025
10363_10311,M,2025,mm_maintalus,,,10363_10311,gentleman,P,2025
10369_10008,M,2025,river_rivermound,,,10369_10008,gift_tag,P,2025
10371_10389,F,2025,river_rivermound,,,10371_10389,sonny,P,2025
10382_10273,M,2025,picnic_lower,,,10382_10273,airbnb,P,2025
10386_10383,M,2025,picnic_upper,,,10386_10383,sprout,P,2025
10388_10375,M,2025,river_rivermound,,,10388_10375,cat,P,2025
10407_10302,M,2025,picnic_lower,,,10407_10302,thor,P,2025
10409_10353,M,2025,mm_aspen,,,10057_6203,peep,P,2025
10416_10422,F,2025,picnic_lower,,,10416_10422,wishbone,P,2025
10418_10051,M,2025,picnic_lower,,,10418_10051,viking_helmet,P,2025
10421_4461,F,2025,picnic_lower,,,10421_4461,candle,P,2025
10437_10428,M,2025,picnic_lower,,,10437_10428,download,P,2025
19_46,F,1999,picnic_lower,2201_2202,1575_1579,,,,
2686_2690,F,2002,picnic_lower,2111_2113,2786_2736,,,,
2793_2821,F,2002,picnic_lower,2111_2113,2786_2736,,,,
2805_2809,F,2002,picnic_lower,2111_2113,2786_2736,,,,
2822_2876,F,2002,picnic_lower,48_47,2786_2736,,,,
3166_3174,F,2002,picnic_lower,19_46,2786_2736,,,,
37_247,F,1999,picnic_lower,2111_2113,1575_1579,,,,
4052_4051,F,2002,picnic_upper,2732_2709,2774_2873,,,,
4229_4217,F,2004,boulder,3155_3162,4900_4877,,,,
4384_noear,F,2002,picnic_middle,2732_2709,2774_2873,check02_,,,
4405_10284,M,2024,picnic_lower,,,4405_9516,five,Y,2025
